"","","", "java-fannkuch-redux", "java-reverse-complement", "java-fasta", "java-n-body", "kotlin-converted-fannkuch-redux", "kotlin-converted-reverse-complement", "kotlin-converted-fasta", "kotlin-converted-n-body", "kotlin-idiomatic-fannkuch-redux", "kotlin-idiomatic-reverse-complement", "kotlin-idiomatic-fasta", "kotlin-idiomatic-n-body"
Implementation, "", "", "java", "java", "java", "java", "kotlin-converted", "kotlin-converted", "kotlin-converted", "kotlin-converted", "kotlin-idiomatic", "kotlin-idiomatic", "kotlin-idiomatic", "kotlin-idiomatic"
"ADD_INT_LIT8 IF_GT""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001443001443001443
"ADD_INT_LIT8 IF_LTZ""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0053475935828877, 0.0, 0.0
"ADD_INT_LIT8 IGET_OBJECT""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0053475935828877, 0.0, 0.0
"ADD_INT_LIT8 INVOKE_DIRECT""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.012698412698412698, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_LIT8 INVOKE_STATIC""","","", 0.0, 0.003875968992248062, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_LIT8 MOVE""","","", 0.0, 0.0, 0.00966183574879227, 0.0, 0.0, 0.0015873015873015873, 0.005333333333333333, 0.0, 0.0, 0.0, 0.002053388090349076, 0.0
"ADD_INT_LIT8 MOVE_FROM16""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006666666666666667, 0.0, 0.002053388090349076, 0.0
"ADD_INT_LIT8 MOVE_OBJECT_FROM16""","","", 0.0, 0.0, 0.0, 0.004454342984409799, 0.0, 0.0, 0.0, 0.003527336860670194, 0.0, 0.0, 0.0, 0.002886002886002886
"ADD_INT_LIT8 MUL_INT_LIT16""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0026666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_LIT8 REM_INT_2ADDR""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_LIT8 SHR_INT_LIT8""","","", 0.010416666666666666, 0.0, 0.0, 0.0, 0.010101010101010102, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_LIT8 SPUT""","","", 0.0, 0.027131782945736434, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_LIT8 SUB_INT_2ADDR""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002053388090349076, 0.0
"AGET ADD_INT_LIT8""","","", 0.010416666666666666, 0.0, 0.0, 0.0, 0.020202020202020204, 0.0, 0.0, 0.0, 0.013333333333333334, 0.0, 0.0, 0.0
"AGET APUT""","","", 0.03125, 0.0, 0.0, 0.0, 0.030303030303030304, 0.0, 0.0, 0.0, 0.013333333333333334, 0.0, 0.0, 0.0
"AGET CMPG_FLOAT""","","", 0.0, 0.0, 0.004830917874396135, 0.0, 0.0, 0.0, 0.0026666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0
"AGET CONST_4""","","", 0.010416666666666666, 0.0, 0.0, 0.0, 0.010101010101010102, 0.0, 0.0, 0.0, 0.006666666666666667, 0.0, 0.0, 0.0
