"","","", "java-fannkuch-redux", "java-reverse-complement", "java-fasta", "java-n-body", "kotlin-converted-fannkuch-redux", "kotlin-converted-reverse-complement", "kotlin-converted-fasta", "kotlin-converted-n-body", "kotlin-idiomatic-fannkuch-redux", "kotlin-idiomatic-reverse-complement", "kotlin-idiomatic-fasta", "kotlin-idiomatic-n-body"
Implementation, "", "", "java", "java", "java", "java", "kotlin-converted", "kotlin-converted", "kotlin-converted", "kotlin-converted", "kotlin-idiomatic", "kotlin-idiomatic", "kotlin-idiomatic", "kotlin-idiomatic"
"ADD_DOUBLE ADD_INT_LIT8 GOTO""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0015313935681470138
"ADD_DOUBLE ADD_INT_LIT8 MOVE_OBJECT_FROM16""","","", 0.0, 0.0, 0.0, 0.002304147465437788, 0.0, 0.0, 0.0, 0.0019157088122605363, 0.0, 0.0, 0.0, 0.0015313935681470138
"ADD_DOUBLE IGET_WIDE MOVE_WIDE_FROM16""","","", 0.0, 0.0, 0.0, 0.002304147465437788, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_DOUBLE INVOKE_STATIC MOVE_RESULT_WIDE""","","", 0.0, 0.0, 0.0, 0.002304147465437788, 0.0, 0.0, 0.0, 0.0019157088122605363, 0.0, 0.0, 0.0, 0.0015313935681470138
"ADD_DOUBLE INVOKE_STATIC_RANGE MOVE_RESULT_WIDE""","","", 0.0, 0.0, 0.0, 0.002304147465437788, 0.0, 0.0, 0.0, 0.0019157088122605363, 0.0, 0.0, 0.0, 0.0015313935681470138
"ADD_DOUBLE INVOKE_VIRTUAL MOVE_RESULT_WIDE""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0019157088122605363, 0.0, 0.0, 0.0, 0.0
"ADD_DOUBLE INVOKE_VIRTUAL_RANGE MOVE_RESULT_WIDE""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0030627871362940277
"ADD_DOUBLE MOVE_OBJECT_FROM16 MOVE_WIDE_FROM16""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005747126436781609, 0.0, 0.0, 0.0, 0.004594180704441042
"ADD_DOUBLE MOVE_WIDE_FROM16 INVOKE_VIRTUAL""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005747126436781609, 0.0, 0.0, 0.0, 0.004594180704441042
"ADD_DOUBLE MOVE_WIDE_FROM16 IPUT_WIDE""","","", 0.0, 0.0, 0.0, 0.0069124423963133645, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_DOUBLE MOVE_WIDE_FROM16 MOVE_OBJECT_FROM16""","","", 0.0, 0.0, 0.0, 0.0069124423963133645, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_DOUBLE MUL_DOUBLE ADD_DOUBLE""","","", 0.0, 0.0, 0.0, 0.0069124423963133645, 0.0, 0.0, 0.0, 0.005747126436781609, 0.0, 0.0, 0.0, 0.006125574272588055
"ADD_DOUBLE_2ADDR ADD_INT_LIT8 GOTO""","","", 0.0, 0.0, 0.0, 0.002304147465437788, 0.0, 0.0, 0.0, 0.0019157088122605363, 0.0, 0.0, 0.0, 0.0
"ADD_DOUBLE_2ADDR IGET INT_TO_DOUBLE""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0021645021645021645, 0.0
"ADD_DOUBLE_2ADDR IGET_OBJECT AGET_OBJECT""","","", 0.0, 0.0, 0.0, 0.004608294930875576, 0.0, 0.0, 0.0, 0.0038314176245210726, 0.0, 0.0, 0.0, 0.0
"ADD_DOUBLE_2ADDR IGET_OBJECT DOUBLE_TO_FLOAT""","","", 0.0, 0.0, 0.005405405405405406, 0.0, 0.0, 0.0, 0.0029940119760479044, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_DOUBLE_2ADDR INVOKE_VIRTUAL ADD_INT_LIT8""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0021645021645021645, 0.0
"ADD_INT MOVE_FROM16 IF_NE""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007246376811594203, 0.0, 0.0, 0.0
"ADD_INT MOVE_OBJECT CHECK_CAST""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0036496350364963502, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_2ADDR INVOKE_DIRECT GOTO_16""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0018248175182481751, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_2ADDR INVOKE_DIRECT RETURN_VOID""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0018248175182481751, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_2ADDR MOVE_FROM16 IF_NE""","","", 0.011363636363636364, 0.0, 0.0, 0.0, 0.011235955056179775, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_2ADDR MOVE_OBJECT CHECK_CAST""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0029940119760479044, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_2ADDR MUL_INT_LIT8 IGET_WIDE""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007656967840735069
"ADD_INT_2ADDR SGET_OBJECT ARRAY_LENGTH""","","", 0.0, 0.008298755186721992, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_2ADDR SPUT GOTO_16""","","", 0.0, 0.004149377593360996, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_2ADDR SPUT RETURN_VOID""","","", 0.0, 0.004149377593360996, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_LIT16 CONST REM_INT_2ADDR""","","", 0.0, 0.0, 0.005405405405405406, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_LIT8 AGET APUT""","","", 0.011363636363636364, 0.0, 0.0, 0.0, 0.011235955056179775, 0.0, 0.0, 0.0, 0.007246376811594203, 0.0, 0.0, 0.0
"ADD_INT_LIT8 AGET_BYTE APUT_BYTE""","","", 0.0, 0.0, 0.005405405405405406, 0.0, 0.0, 0.0, 0.0029940119760479044, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_LIT8 AGET_BYTE CONST_16""","","", 0.0, 0.004149377593360996, 0.0, 0.0, 0.0, 0.0018248175182481751, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_LIT8 AGET_BYTE IF_NE""","","", 0.0, 0.004149377593360996, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_LIT8 AGET_BYTE INT_TO_BYTE""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0018248175182481751, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_LIT8 AGET_OBJECT INVOKE_VIRTUAL""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0021645021645021645, 0.0
