"","","", "java-fannkuch-redux", "java-reverse-complement", "java-fasta", "java-n-body", "kotlin-converted-fannkuch-redux", "kotlin-converted-reverse-complement", "kotlin-converted-fasta", "kotlin-converted-n-body", "kotlin-idiomatic-fannkuch-redux", "kotlin-idiomatic-reverse-complement", "kotlin-idiomatic-fasta", "kotlin-idiomatic-n-body"
Implementation, "", "", "java", "java", "java", "java", "kotlin-converted", "kotlin-converted", "kotlin-converted", "kotlin-converted", "kotlin-idiomatic", "kotlin-idiomatic", "kotlin-idiomatic", "kotlin-idiomatic"
"DOUBLE_TO_FLOAT""","","", 0.0, 0.0, 0.00851063829787234, 0.0, 0.0, 0.0, 0.004705882352941176, 0.0, 0.0, 0.0, 0.0, 0.0
"FILL_ARRAY_DATA""","","", 0.0, 0.0, 0.01702127659574468, 0.0, 0.0, 0.0, 0.004705882352941176, 0.0, 0.0, 0.0, 0.0, 0.0
"FLOAT_TO_DOUBLE""","","", 0.0, 0.0, 0.00425531914893617, 0.0, 0.0, 0.0, 0.002352941176470588, 0.0, 0.0, 0.0, 0.0, 0.0
"GOTO""","","", 0.08653846153846154, 0.04332129963898917, 0.0425531914893617, 0.008583690987124463, 0.08256880733944955, 0.018156424581005588, 0.023529411764705882, 0.006514657980456026, 0.06707317073170732, 0.034482758620689655, 0.023255813953488372, 0.025885558583106268
"GOTO_16""","","", 0.0, 0.0036101083032490976, 0.0, 0.006437768240343348, 0.0, 0.0013966480446927375, 0.0, 0.004885993485342019, 0.006097560975609756, 0.0, 0.0, 0.004087193460490463
"IF_EQ""","","", 0.009615384615384616, 0.0, 0.0, 0.0, 0.009174311926605505, 0.0, 0.0, 0.0, 0.006097560975609756, 0.0049261083743842365, 0.0, 0.0027247956403269754
"IF_EQZ""","","", 0.009615384615384616, 0.007220216606498195, 0.00851063829787234, 0.0, 0.009174311926605505, 0.002793296089385475, 0.004705882352941176, 0.0, 0.018292682926829267, 0.024630541871921183, 0.001937984496124031, 0.020435967302452316
"IF_GE""","","", 0.038461538461538464, 0.01444043321299639, 0.02127659574468085, 0.015021459227467811, 0.03669724770642202, 0.00558659217877095, 0.011764705882352941, 0.011400651465798045, 0.018292682926829267, 0.009852216748768473, 0.009689922480620155, 0.008174386920980926
"IF_GEZ""","","", 0.0, 0.0, 0.00425531914893617, 0.0, 0.0, 0.0013966480446927375, 0.002352941176470588, 0.0, 0.0, 0.0, 0.0, 0.0
"IF_GT""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0013623978201634877
