Benchmark results for /storage/emulated/0/results/FR-KC-MC--2018-04-18-13:39:21.txt 
------------------------------------------------------------------------------
                  Raw data: [Allocation Count, Allocation Size, Bytes per object] 
------------------------------------------------------------------------------
Discarded results (warmup)
(0, 13, 456, 35.07692307692308)
(1, 13, 456, 35.07692307692308)
(2, 13, 456, 35.07692307692308)
(3, 13, 456, 35.07692307692308)
(4, 13, 456, 35.07692307692308)
(5, 13, 456, 35.07692307692308)
(6, 13, 456, 35.07692307692308)
(7, 13, 456, 35.07692307692308)
(8, 13, 456, 35.07692307692308)
(9, 13, 456, 35.07692307692308)
------------------------------------------------------------------------------
Warmuped results:
(0, 13, 456, 35.07692307692308)
(1, 13, 456, 35.07692307692308)
(2, 13, 456, 35.07692307692308)
(3, 13, 456, 35.07692307692308)
(4, 13, 456, 35.07692307692308)
(5, 13, 456, 35.07692307692308)
(6, 13, 456, 35.07692307692308)
(7, 13, 456, 35.07692307692308)
(8, 13, 456, 35.07692307692308)
(9, 13, 456, 35.07692307692308)
(10, 13, 456, 35.07692307692308)
(11, 13, 456, 35.07692307692308)
(12, 13, 456, 35.07692307692308)
(13, 13, 456, 35.07692307692308)
(14, 13, 456, 35.07692307692308)
(15, 13, 456, 35.07692307692308)
(16, 13, 456, 35.07692307692308)
(17, 13, 456, 35.07692307692308)
(18, 13, 456, 35.07692307692308)
(19, 13, 456, 35.07692307692308)
(20, 13, 456, 35.07692307692308)
(21, 13, 456, 35.07692307692308)
(22, 13, 456, 35.07692307692308)
(23, 13, 456, 35.07692307692308)
(24, 13, 456, 35.07692307692308)
(25, 13, 456, 35.07692307692308)
(26, 13, 456, 35.07692307692308)
(27, 13, 456, 35.07692307692308)
(28, 13, 456, 35.07692307692308)
(29, 13, 456, 35.07692307692308)
(30, 13, 456, 35.07692307692308)
(31, 13, 456, 35.07692307692308)
(32, 13, 456, 35.07692307692308)
(33, 13, 456, 35.07692307692308)
(34, 13, 456, 35.07692307692308)
(35, 13, 456, 35.07692307692308)
(36, 13, 456, 35.07692307692308)
(37, 13, 456, 35.07692307692308)
(38, 13, 456, 35.07692307692308)
(39, 13, 456, 35.07692307692308)
(40, 13, 456, 35.07692307692308)
(41, 13, 456, 35.07692307692308)
(42, 13, 456, 35.07692307692308)
(43, 13, 456, 35.07692307692308)
(44, 13, 456, 35.07692307692308)
(45, 13, 456, 35.07692307692308)
(46, 13, 456, 35.07692307692308)
(47, 13, 456, 35.07692307692308)
(48, 13, 456, 35.07692307692308)
(49, 13, 456, 35.07692307692308)
(50, 13, 456, 35.07692307692308)
(51, 13, 456, 35.07692307692308)
(52, 13, 456, 35.07692307692308)
(53, 13, 456, 35.07692307692308)
(54, 13, 456, 35.07692307692308)
(55, 13, 456, 35.07692307692308)
(56, 13, 456, 35.07692307692308)
(57, 13, 456, 35.07692307692308)
(58, 13, 456, 35.07692307692308)
(59, 13, 456, 35.07692307692308)
(60, 13, 456, 35.07692307692308)
(61, 13, 456, 35.07692307692308)
(62, 13, 456, 35.07692307692308)
(63, 13, 456, 35.07692307692308)
(64, 13, 456, 35.07692307692308)
(65, 13, 456, 35.07692307692308)
(66, 13, 456, 35.07692307692308)
(67, 13, 456, 35.07692307692308)
(68, 13, 456, 35.07692307692308)
(69, 13, 456, 35.07692307692308)
(70, 13, 456, 35.07692307692308)
(71, 13, 456, 35.07692307692308)
(72, 13, 456, 35.07692307692308)
(73, 13, 456, 35.07692307692308)
(74, 13, 456, 35.07692307692308)
(75, 13, 456, 35.07692307692308)
(76, 13, 456, 35.07692307692308)
(77, 13, 456, 35.07692307692308)
(78, 13, 456, 35.07692307692308)
(79, 13, 456, 35.07692307692308)
(80, 13, 456, 35.07692307692308)
(81, 13, 456, 35.07692307692308)
(82, 13, 456, 35.07692307692308)
(83, 13, 456, 35.07692307692308)
(84, 13, 456, 35.07692307692308)
(85, 13, 456, 35.07692307692308)
(86, 13, 456, 35.07692307692308)
(87, 13, 456, 35.07692307692308)
(88, 13, 456, 35.07692307692308)
(89, 13, 456, 35.07692307692308)
(90, 13, 456, 35.07692307692308)
(91, 13, 456, 35.07692307692308)
(92, 13, 456, 35.07692307692308)
(93, 13, 456, 35.07692307692308)
(94, 13, 456, 35.07692307692308)
(95, 13, 456, 35.07692307692308)
(96, 13, 456, 35.07692307692308)
(97, 13, 456, 35.07692307692308)
(98, 13, 456, 35.07692307692308)
(99, 13, 456, 35.07692307692308)
------------------------------------------------------------------------------
Sample means, SD and CI (two-sided 95%)
Allocation count: 13.0, 0,0000, 0,0000
Allocation size: 456.0, 0,0000, 0,0000
Bytes allocated per object: 35,0769, 0,0000, 0,0000
